Date,Close,MA50,MA200,RSI,MACD,MACD_Signal,BB_High,BB_Low,BB_Mid,VWAP,Return,Volatility,ATR,Stoch_K,Stoch_D,OBV,Hammer,Bullish_Engulfing,Bearish_Engulfing,Doji,Morning_Star,Evening_Star,Shooting_Star,Piercing_Line,Dark_Cloud_Cover
2020-12-22,2682.43896484375,2538.661806640625,2106.8015661621093,64.93732296349657,41.08654654418979,34.49106183250896,2690.6114260801387,2484.319360052674,2587.4653930664062,2085.729619764902,0.018562939144237234,0.18807122638602677,52.411463737023915,87.1861331088491,78.17989660479589,145716370.0,0,0,0,0,0,0,0,0,0
2020-12-23,2716.290283203125,2540.421142578125,2110.62522277832,74.44191934089667,45.60696964275803,36.71424339455878,2711.8405939729296,2480.5248601286326,2596.182727050781,2087.5128079765545,0.01261960432391307,0.19075164897496402,51.10744412734617,95.34090860968226,81.13548965918177,148507358.0,0,0,0,0,0,0,0,0,0
2020-12-24,2716.850341796875,2542.2841357421876,2114.4911688232423,73.29564298602425,48.67355116458202,39.10610494856343,2727.978475579498,2483.8153476626894,2605.8969116210938,2088.6630632635747,0.00020618510371051002,0.18673830894583435,50.99405289478854,94.42379589114705,92.31694586989282,150314502.0,0,0,0,1,0,0,0,0,0
2020-12-28,2735.573974609375,2545.8102978515626,2119.1124090576172,73.95645403797612,52.01508231157186,41.68790042116511,2746.5890211792216,2484.703263977028,2615.646142578125,2090.039994638937,0.006891668828587827,0.1866800593272452,51.65106259626763,90.65592614789284,93.47354354957406,152423496.0,0,0,0,0,0,0,0,0,0
2020-12-29,2736.600830078125,2548.9330322265623,2123.82442199707,69.49641058609237,54.12224097054832,44.17476853104176,2757.5357041005873,2497.181800782225,2627.358752441406,2091.338628556899,0.0003753711207523658,0.17362576585548245,48.90958609062367,89.0862808331528,91.38866762406424,154417647.0,0,0,0,0,0,0,0,0,0
2020-12-30,2716.803955078125,2552.6263525390623,2129.28165222168,64.09958175781472,53.57713318518199,46.055241461869805,2766.0492765085914,2505.7107088429707,2635.879992675781,2092.9960756941146,-0.007234111304217805,0.17121833031493766,48.83286821171584,78.3250678576306,86.02242494622543,151779679.0,0,0,1,0,0,0,0,0,1
2020-12-31,2673.333984375,2554.93759765625,2134.354161376953,60.62013583388486,49.07179884499965,46.658552938495774,2768.212450292276,2514.1185067389742,2641.165478515625,2095.3423167126857,-0.01600040761935473,0.18310027401644374,49.98348210855644,54.69560044037213,74.03564971038519,147738723.0,0,0,0,0,0,0,0,0,0
2021-01-01,2734.500244140625,2559.6599951171875,2140.2371392822265,66.65913933039225,49.86211546752793,47.29926544430221,2773.619518386605,2529.143762863395,2651.381640625,2097.052411933607,0.022880141472456206,0.1861385622076054,52.258051433077036,87.94444139400777,73.65503656400351,150420163.0,0,0,0,0,0,0,0,0,0
2021-01-04,2838.34228515625,2566.5386181640624,2146.81565246582,72.75303307009735,58.196775746053845,49.47876750465254,2804.2112123354423,2527.678338445808,2665.944775390625,2100.815311418826,0.03797477847666442,0.22192144234922218,57.24403958818526,96.17918918693066,79.60641034043687,155533456.0,0,0,0,0,0,0,0,0,0
2021-01-05,2888.348876953125,2574.1250830078125,2153.660729370117,80.20601628154765,68.05269894811363,53.19355379334476,2843.323443822846,2521.7452329349667,2682.5343383789063,2105.3248794344418,0.017618238666420094,0.2258745209562307,59.385189192751305,93.99377888212811,92.70580315435552,161334765.0,0,0,0,0,0,0,0,0,0
2021-01-06,2849.594482421875,2580.9103173828125,2160.340016479492,72.07441905711542,71.9075281159171,56.936348657859234,2867.881147659002,2520.9255662081855,2694.403356933594,2108.052612361085,-0.013417490816459599,0.22825709728506763,60.51579140820646,80.9414221863264,90.37146341846174,157608049.0,0,0,0,0,0,0,0,0,1
2021-01-07,2832.1318359375,2588.430478515625,2166.1868481445313,68.2826256328433,72.71520278007574,60.09211948230254,2885.368871522537,2524.1688726180882,2704.7688720703127,2110.6903739583217,-0.006128116330971212,0.23131285767408502,62.64360859263109,75.26185786693186,83.3990196451288,153890222.0,0,0,0,0,0,0,0,0,0
2021-01-08,2914.40234375,2597.7445263671875,2173.0359197998046,71.74894975678463,79.08222255293413,63.890140096428865,2916.7518996250997,2524.218681429588,2720.4852905273438,2115.293707498066,0.029048968260782404,0.24196697427283798,65.00483781501612,97.92999613439626,84.71109206255151,159769261.0,0,0,0,0,0,0,0,0,0
2021-01-11,2966.27734375,2607.9008984375,2179.9896490478513,79.09997766535008,87.30758308662143,68.57362869446739,2955.0154577632825,2522.6408410648423,2738.8281494140624,2123.1041102910635,0.01779953276226509,0.24441906211934716,65.51181561231384,86.98186495334582,86.72457298489132,169277300.0,0,0,0,0,0,0,0,0,0
2021-01-12,2964.7841796875,2617.4260205078126,2186.717826538086,76.92595679687827,92.63788286060299,73.3864795276945,2986.2744701397355,2526.6014820087016,2756.4379760742186,2126.0281246773916,-0.0005033797886924152,0.24571932254718226,65.17830381488218,85.675567749936,90.19580961255936,165665842.0,0,0,0,1,0,0,1,0,0
2021-01-13,2949.935791015625,2627.7794580078125,2193.183742675781,73.11964957138592,94.57385443778276,77.62395450971216,3004.3762619628415,2545.6102858887207,2774.993273925781,2128.8500610984174,-0.005008252800863255,0.2389552435027999,64.99153398036346,81.5455749925401,84.73433589860731,162093041.0,0,0,0,0,0,0,0,0,0
2021-01-14,3041.39208984375,2639.420380859375,2199.9517608642577,77.21785991429174,102.30853572883962,82.56087075353766,3043.0681253180037,2548.2580221429334,2795.6630737304686,2134.8738019883226,0.03100280999561611,0.250524811844419,72.21060656091764,96.29892320783087,87.84002198343565,169024583.0,0,0,0,0,0,0,0,0,0
2021-01-15,3025.15869140625,2650.3715087890623,2206.851376953125,74.38803686973256,105.90759001908191,87.23021460664651,3072.0381432784684,2556.7631018387187,2814.4006225585936,2138.363075585675,-0.005337489530438666,0.2545349563477541,73.30598305742099,90.64236245841451,89.49562021959518,164892891.0,0,0,0,1,0,0,1,0,0
2021-01-18,3014.305419921875,2660.497646484375,2213.4765606689452,73.00673852593835,106.65464975748046,91.1151016368133,3094.718087087111,2568.3437537332015,2831.5309204101563,2141.8068185334396,-0.0035876701328781957,0.2570907938434696,75.80612860526558,87.97198933022202,91.6377583321558,160731985.0,0,0,0,0,0,0,0,0,0
2021-01-19,3050.746826171875,2670.9463818359377,2220.826735229492,76.92334946048192,108.93152213363328,94.6783857361773,3115.6408288572857,2589.140445556777,2852.3906372070314,2144.3552760731072,0.012089487020510603,0.24607049653328755,76.58376826540272,95.83524551504941,91.48319910122865,163707720.0,0,0,0,0,0,0,0,0,0
2021-01-20,3095.750732421875,2681.9375537109377,2228.6542419433595,83.97231822496096,113.06406683422438,98.35552195578673,3144.8833321353914,2601.229119036484,2873.0562255859377,2147.4409556562573,0.014751766965360291,0.2441608850896601,76.7891427531197,95.78584056566521,93.19769180364555,167161166.0,0,0,0,0,0,0,0,0,0
2021-01-21,3063.051025390625,2693.7128369140623,2235.7585827636717,77.69118577859135,112.40481249932554,101.1653800644945,3164.3468893940903,2616.441635996535,2890.3942626953126,2149.8240071528517,-0.010562771313848085,0.25122915521538786,74.78067950927633,86.21958277777699,92.61355628616388,164382620.0,0,0,0,0,0,0,0,0,0
2021-01-22,3090.417236328125,2705.3220068359374,2243.322373046875,74.38971327118222,112.79039573053842,103.4903831977033,3184.1426594459995,2634.0025553977507,2909.072607421875,2152.5057490077224,0.008934298093845827,0.2504025664415863,72.16317692669158,92.54633912279995,91.51725415541405,167435079.0,0,0,0,0,0,0,0,1,0
